번호,학과명,구분,순번,항목
8,시스템반도체공학과,취업분야,5,전자/통신 산업체
8,시스템반도체공학과,취업분야,6,반도체 IP(지식재산권) 개발사
8,시스템반도체공학과,취업분야,7,반도체 디자인하우스(DSP)
8,시스템반도체공학과,취업분야,8,반도체 패키징 및 테스트(OSAT) 기업
8,시스템반도체공학과,취업분야,9,AI 반도체 스타트업
8,시스템반도체공학과,진출직업,1,반도체 회로 설계 엔지니어
8,시스템반도체공학과,진출직업,2,반도체 공정/소자 개발자
8,시스템반도체공학과,진출직업,3,임베디드 시스템 설계자
8,시스템반도체공학과,진출직업,4,특허/변리 전문가
8,시스템반도체공학과,진출직업,5,ASIC/FPGA 설계 엔지니어
8,시스템반도체공학과,진출직업,6,반도체 검사/평가 엔지니어
8,시스템반도체공학과,진출직업,7,EDA 툴 지원 엔지니어
8,시스템반도체공학과,진출직업,8,NPU/AI 반도체 구조 연구원
8,시스템반도체공학과,관련자격증,1,반도체설계기사
8,시스템반도체공학과,관련자격증,2,반도체설계산업기사
8,시스템반도체공학과,관련자격증,3,전자기사
8,시스템반도체공학과,관련자격증,4,정보처리기사
8,시스템반도체공학과,비고,1,국가 반도체 인재양성 정책과 연계된 특성화 학과로 반도체 대기업·팹리스 취업에 초점
9,휴먼지능로봇공학과,취업분야,1,무선·지능형 로봇 제조
9,휴먼지능로봇공학과,취업분야,2,스마트 팩토리 자동화
9,휴먼지능로봇공학과,취업분야,3,인공지능 기반 맞춤 서비스 및 의료/가전 IT 기업
9,휴먼지능로봇공학과,취업분야,4,수술/재활용 의료로봇 기업
9,휴먼지능로봇공학과,취업분야,5,착용형(Wearable) 로봇 개발사
9,휴먼지능로봇공학과,취업분야,6,재난/탐사 로봇 제조사
9,휴먼지능로봇공학과,취업분야,7,웨어러블 디바이스 기업
9,휴먼지능로봇공학과,진출직업,1,로봇 설계 기술자
9,휴먼지능로봇공학과,진출직업,2,무인화/자동화 로봇 연구원
9,휴먼지능로봇공학과,진출직업,3,AI 서비스 개발자
9,휴먼지능로봇공학과,진출직업,4,휴먼-로봇 인터페이스(HRI) 연구원
9,휴먼지능로봇공학과,진출직업,5,로봇 제어 알고리즘 개발자
9,휴먼지능로봇공학과,진출직업,6,모션 제어 엔지니어
9,휴먼지능로봇공학과,진출직업,7,로봇 비전(Computer Vision) 연구원
9,휴먼지능로봇공학과,진출직업,8,재활/착용형 로봇 개발자
9,휴먼지능로봇공학과,관련자격증,1,로봇기구개발기사
9,휴먼지능로봇공학과,관련자격증,2,로봇소프트웨어개발기사
9,휴먼지능로봇공학과,관련자격증,3,전자기사
9,휴먼지능로봇공학과,관련자격증,4,정보처리기사
9,휴먼지능로봇공학과,비고,1,'지능형로봇 혁신융합대학' 사업단 참여 학과로 기업 연계 실습·취업 프로그램 운영
10,지능형로봇학과,취업분야,1,산업용 및 서비스용 로봇 제조기업
10,지능형로봇학과,취업분야,2,스마트 팩토리/물류 자동화 솔루션 기업
10,지능형로봇학과,취업분야,3,인공지능 연구소 및 로봇 SW 전문기업
10,지능형로봇학과,취업분야,4,협동로봇(Cobot) 개발사
10,지능형로봇학과,취업분야,5,자율주행 이동로봇(AMR/AGV) 기업
10,지능형로봇학과,취업분야,6,무인기 및 드론 산업
10,지능형로봇학과,진출직업,1,지능형 로봇 소프트웨어 개발자
10,지능형로봇학과,진출직업,2,로봇 자율주행(SLAM/Navigation) 엔지니어
10,지능형로봇학과,진출직업,3,로봇 메카트로닉스 설계자
10,지능형로봇학과,진출직업,4,스마트팩토리 제어 엔지니어
10,지능형로봇학과,진출직업,5,협동로봇 응용 애플리케이션 개발자
10,지능형로봇학과,진출직업,6,로봇 인공지능 모델러
10,지능형로봇학과,관련자격증,1,로봇기구개발기사
10,지능형로봇학과,관련자격증,2,로봇소프트웨어개발기사
10,지능형로봇학과,관련자격증,3,정보처리기사
10,지능형로봇학과,관련자격증,4,전자기사
10,지능형로봇학과,비고,1,"비교적 최근 신설된 특성화 학과로, 정부 지원 '지능형로봇 혁신융합대학' 사업과 연계됨"
11,AI모빌리티공학과,취업분야,1,자율주행차
11,AI모빌리티공학과,취업분야,2,모빌리티 플랫폼
11,AI모빌리티공학과,취업분야,3,로보틱스
11,AI모빌리티공학과,취업분야,4,스마트 모빌리티 제조 및 제어 시스템
11,AI모빌리티공학과,취업분야,5,UAM(도심항공교통) 및 드론 제조사
11,AI모빌리티공학과,취업분야,6,스마트 물류/배송 로봇 기업
11,AI모빌리티공학과,취업분야,7,스마트시티 교통관제 시스템 기업
11,AI모빌리티공학과,취업분야,8,지도/위치기반 서비스(LBS) 기업
11,AI모빌리티공학과,진출직업,1,자율주행 SW 개발자
11,AI모빌리티공학과,진출직업,2,모빌리티 제어 시스템 엔지니어
11,AI모빌리티공학과,진출직업,3,AI 알고리즘 개발자
11,AI모빌리티공학과,진출직업,4,로봇/모빌리티 기구 설계자
11,AI모빌리티공학과,진출직업,5,UAM/드론 제어 엔지니어
11,AI모빌리티공학과,진출직업,6,스마트 교통 데이터 분석가
11,AI모빌리티공학과,진출직업,7,모빌리티 시뮬레이션 엔지니어
11,AI모빌리티공학과,진출직업,8,자율주행 센서 퓨전(Sensor Fusion) 개발자
11,AI모빌리티공학과,관련자격증,1,자동차기사
11,AI모빌리티공학과,관련자격증,2,전자기사
11,AI모빌리티공학과,관련자격증,3,정보처리기사
11,AI모빌리티공학과,관련자격증,4,기계설계기사
11,AI모빌리티공학과,비고,1,미래 모빌리티(자율주행·전동화) 특성화 신설 학과로 완성차·부품 대기업과의 산학연계에 초점
